,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS
glass2,0,12.5,13.33,13.33,0,24.49,16.67,16.67,0,14.81,13.33,28.57,0,0,0,0,0,28.57,0,25,6.67,16.67,0,32.43,22.22,0,0,0,0,23.73,22.22,22.58,0,25,0,37.84,0,25,0,0,0,21.74,0,12.9,20.59,20,0,26.32
kr-vs-k-zero-one_vs_draw,84.75,87.1,87.1,87.1,83.33,46.15,73.97,83.08,27.98,85.71,87.1,83.33,81.48,81.48,79.41,79.41,87.27,23.79,8.16,8.32,41.22,78.13,75.47,6.25,23.28,25.47,18.6,18.32,54.55,8.41,15.69,0,22.31,25.47,26.87,0,79.17,79.37,77.42,78.69,76.36,6.01,64.1,81.25,41.86,78.79,78.13,80
page-blocks-1-3_vs_4,93.33,93.33,93.33,93.33,85.71,10.67,26.92,82.35,30.77,70,93.33,94.12,93.33,66.67,60.87,66.67,66.67,40,100,80,50,32,100,100,42.11,33.33,42.11,33.33,30.77,10.67,42.11,42.11,40,38.1,33.33,42.11,54.55,77.78,80,87.5,82.35,11.94,87.5,73.68,21.33,70.59,73.68,82.35
poker-8-9_vs_5,0,13.11,16.67,8.89,0,9.79,10.43,0,4.02,15.19,9.09,5,0,4.29,8,3.39,0,2.8,3.01,5.06,2.68,7.02,3.43,5.26,3.7,3.65,2.52,3.03,2.11,3.04,1.9,4.11,2.45,3.51,3.25,4.05,0,12.12,14.29,9.84,0,11.21,13.33,15,3.37,10,10.91,14.29
poker-8-9_vs_6,88.89,76.92,83.33,76.92,33.33,6.54,38.46,66.67,4.42,47.62,76.92,53.33,0,38.1,26.67,35.29,0,2.22,4.93,2.22,0,18.18,10.53,2.94,0,9.76,0,0,0,2.22,1.95,0,1.69,8.7,0,2.5,88.89,88.89,100,100,0,2.24,100,100,6.45,100,100,100
winequality-red-8_vs_6,0,13.79,14.29,14.29,20,7.45,10.34,14.55,10.42,9.76,13.79,16.67,0,17.39,16.67,11.76,28.57,6.03,5.62,9.3,8.89,22.22,25,23.08,17.14,14.81,15.38,16.67,28.57,5.91,5.91,6.22,14.55,13.33,17.39,16.22,0,7.14,11.11,7.41,14.29,5.91,6.06,10.91,19.23,6.25,7.69,18.75
winequality-white-3_vs_7,50,3.85,2.56,3.74,25,2.2,1.61,4.08,4.65,4.35,3.92,5,7.84,6,2.99,3.81,40,2.2,2.21,3.85,2.27,2.44,4,14.81,2.56,2.62,2.79,2.62,7.84,2.2,2.2,2.23,2.23,2.71,2.67,2.6,3.54,1.9,2.52,1.89,80,2.33,2.27,4.12,2.74,1.83,1.91,5.45
yeast-0-5-6-7-9_vs_4,53.85,48.15,53.06,48.15,55.81,32.97,46.43,21.58,31.43,48.39,50.98,56.52,58.82,39.13,36.73,31.82,43.75,20.45,9.52,18.6,45,46.88,37.21,46.15,19.16,19.75,19.63,18.99,19.39,0,19.51,44,30.43,19.11,18.87,39.02,50,48.15,45.61,48.28,50.98,39.47,51.61,29.63,48.15,45.9,54.17,50.79
yeast-2_vs_4,63.64,69.23,81.48,74.07,63.64,56.6,82.35,26.32,77.78,78.57,74.07,83.87,56,72,71.43,71.43,66.67,17.96,0,16.87,68.97,73.33,71.43,76.92,38.89,70.27,68.75,68.97,16,17.96,29.41,17.65,25.42,66.67,63.16,66.67,66.67,64.52,76.92,64.52,62.07,36.14,66.67,17.65,70.97,74.07,64.52,68.97
yeast4,0,29.17,35,28,22.22,17.02,28.57,10.27,14.35,31.43,26.42,32,0,32.56,30.43,26.67,34.29,7.49,0,7.46,41.1,27.45,34.15,28.99,8.67,9.01,9.38,8.98,7.71,23.44,8.14,8.19,0,9.04,9.09,29.27,0,32.73,43.9,35.14,44.44,36.78,32.32,13.55,21.94,33.33,34.48,36.36
ecoli-0_vs_1,91.57,92.68,92.68,92.68,91.57,96.2,96.2,97.44,91.57,92.68,92.68,92.68,92.68,92.68,92.68,92.68,92.68,97.44,97.44,97.44,93.83,91.57,92.68,95,89.41,89.41,88.37,89.41,87.36,0,81.72,0,84.44,89.41,89.41,0,91.57,95,93.83,92.68,95,0,97.44,58.18,93.83,92.68,95,96.2
ecoli1,81.08,79.07,69.77,69.57,63.83,73.91,70.83,72.34,80.95,69.77,78.05,77.27,77.42,68.18,56,61.9,70,31.03,78.79,30.09,75,66.67,51.06,77.78,69.23,68.18,66.67,66.67,65.31,69.77,65.22,50,65.45,68,66.67,73.17,81.25,72.73,73.91,73.91,71.11,61.02,73.91,58.62,69.77,75.56,76.19,75.56
ecoli2,83.33,81.48,88,80,80,68.75,75.86,60,72.73,81.48,80,81.48,56,59.26,55,66.67,69.23,26.37,66.67,23.53,55,78.57,75.86,64,30.77,43.64,64.71,29.89,55,75,70.97,30.77,29.55,52.38,46.15,48,80,81.48,84.62,80,75.86,70.97,70.97,78.57,61.54,81.48,81.48,81.48
glass0,21.43,32.26,30.3,30.3,31.25,65.22,36.36,42.11,37.5,30.3,36.36,59.02,21.43,0,14.81,23.08,18.18,56.34,23.08,21.43,23.08,22.22,26.67,59.15,0,0,0,0,0,50.6,0,48.72,0,0,0,57.14,40,45.71,60.87,56.6,59.57,55.56,55.56,52.17,30.77,46.67,43.24,57.14
new-thyroid1,88,88.89,88.89,88.89,84.62,64.86,72.73,88.89,58.54,88.89,88,88.89,84.62,88,91.67,100,84.62,68.75,85.71,92.31,70.59,95.65,91.67,100,91.67,86.96,86.96,86.96,86.96,74.07,92.31,91.67,51.06,86.96,86.96,96,95.65,88.89,92.31,88.89,91.67,62.86,77.42,88.89,61.54,92.31,92.31,92.31
page-blocks0,82.64,73.68,72.82,67.96,72.62,16.84,82.64,34.41,64.92,74.13,76.03,79.41,42.86,35.66,34.94,33.29,30.39,16.84,44.15,35.67,32.84,40.83,39.28,44.63,40.06,38.87,36.29,36.58,42.25,16.84,40.06,39.32,45.45,28.23,39.03,40.35,70.87,66.83,62.53,61.7,66.34,22.09,70.87,46.56,64.77,66.51,66.5,70.15
pima,58.28,59.38,60.3,58.82,60.1,57.01,58.71,63.28,62.44,63.89,64.48,65.26,44.25,57.83,54.38,53.97,49.69,47.14,58.76,49.06,57.84,58.09,58.33,59.07,58.51,61.11,58.96,56.52,56.83,48.18,56.28,59.78,60.1,58.47,57.46,61.38,62.72,60.23,58.18,58.2,61.93,53.28,61.11,60.42,59.18,56.25,61.05,66.33
