,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS
winequality-white-3_vs_7,57.52,64.79,48.94,64.21,57.09,10.54,25.34,65.92,68.13,67.04,65.17,69.21,74.2,80.74,50.31,64.6,57.41,10.54,12.17,52.12,47.66,48.43,65.55,78.09,39.44,41.72,47.53,41.72,74.2,10.54,10.54,16.1,16.1,45.13,43.46,40.82,63.05,39.44,53.29,39.13,81.5,26.53,21.08,66.11,45.95,37.18,40.06,78.41
yeast-0-5-6-7-9_vs_4,59.96,77.14,78.6,77.14,76.62,71.67,76.55,51.19,65.32,81.59,78.02,79.46,71.18,64.18,63.44,56.17,58.73,34.57,22.12,32.59,65.64,80.94,60.74,65.88,36.63,40.26,39.56,40.31,38.13,0,38.85,70.96,55.73,40.95,39.65,78.06,59.55,77.14,76.25,79.44,78.02,76.96,84.92,68.12,77.14,78.51,78.89,84.16
yeast-2_vs_4,66.53,75.43,84.24,79.78,66.53,92.28,94.72,67.68,94.08,83.96,79.78,91.58,65.84,75.69,79.51,79.51,71.12,34.08,0,31.99,79.24,83.4,79.51,80.05,81.75,89.73,82.83,79.24,33.95,34.08,73.18,31.11,65.75,71.12,85.31,71.12,71.12,78.7,80.05,78.7,74.66,81.12,78.97,31.11,83.11,79.78,78.7,79.24
yeast4,0,61.67,62.27,61.52,41.01,78.23,80.82,57.8,72.68,75.99,61.3,79.07,0,62.05,61.82,57.17,57.86,24.14,0,23.2,89.29,61.45,62.2,72.36,47.96,53.19,55.55,53,36.46,82.97,42.35,38.18,0,53.37,53.74,57.44,0,69.68,70.86,82.61,87.12,90.84,89.43,71.66,85.36,84.86,73.36,85.62
ecoli-0_vs_1,94.55,95.35,95.35,95.35,94.55,97.7,97.7,98.47,94.55,95.35,95.35,95.35,95.35,95.35,95.35,95.35,95.35,98.47,98.47,98.47,96.14,94.55,95.35,96.92,92.93,92.93,92.11,92.93,91.29,0,86.16,0,88.76,92.93,92.93,0,94.55,96.92,96.14,95.35,96.92,0,98.47,52.38,96.14,95.35,96.92,97.7
ecoli1,88.07,92.75,85.21,87.5,83.25,91.23,90.2,90.71,93.25,85.21,89.98,92.25,78.77,84.72,78,77.96,82.79,45.6,81.99,45.36,86.65,84.24,71.75,84.63,91.74,84.72,88.63,88.63,85.98,85.21,83.74,80.22,90.1,89.15,88.63,86.17,82.42,88.5,91.23,91.23,88,87.88,91.23,84.85,85.21,91.74,89.49,91.74
ecoli2,85.95,89.68,90.61,85.51,85.51,87.31,88.74,88.14,91.7,89.68,85.51,89.68,69.27,74.05,83.39,79.41,79.84,55.74,79.41,45.85,83.39,89.21,88.74,74.87,65.54,79.98,86.35,62.93,83.39,80.7,87.79,65.54,62.14,82.38,81.68,82.79,85.51,89.68,90.15,93.18,88.74,87.79,87.79,89.21,88.66,89.68,89.68,89.68
glass0,30.74,40.15,39.22,39.22,39.69,73.38,43.98,50.2,44.47,39.22,43.98,72.63,30.74,0,24.81,31.45,28.9,70.58,31.45,30.74,31.45,31.1,35.5,74.42,0,0,0,0,0,60.76,0,58.99,0,0,0,71.61,45.45,51.92,69.43,67.94,68.69,67.12,67.12,61.48,37.11,50.13,50.78,67.18
new-thyroid1,93.51,97.67,97.67,97.67,92.75,89.44,92.82,97.67,85.93,97.67,93.51,97.67,92.75,93.51,94.26,100,92.75,88.07,96.87,98.45,91.99,95,94.26,100,94.26,89.16,89.16,89.16,89.16,86.23,98.45,94.26,80.38,89.16,89.16,99.23,95,97.67,98.45,97.67,94.26,85.63,94.46,97.67,87.71,98.45,98.45,98.45
page-blocks0,87.41,91.1,92.55,92.34,85.97,30.33,87.41,78.81,90.56,93.07,93.03,92.52,82.18,81.33,79.7,77.43,74.76,30.33,83.92,79.3,78.32,84.91,82.81,83.89,82.51,82,80.43,80.64,83.25,30.33,82.51,82.46,82.25,72.64,81.9,82.67,75.44,90.92,91.52,92.47,91.13,33.99,75.44,86.82,87.13,91.46,90.25,93.03
pima,65.76,71.43,73.04,70.39,72.29,70.8,71.47,73.74,75.93,78.59,75.69,77.36,49.57,67.24,67.5,65.55,59.25,55.05,70.96,61.17,70.74,72.96,70.33,71.19,70.16,71.97,69.09,67.77,68,56.22,68.68,71.07,72.29,73.27,68.44,73.22,72.17,70.65,72.14,69.93,74.61,66.32,75.34,72.52,71.58,70.8,72.99,79.21
